"id","productname","product","encode","name2","productcode","category","video","mrp","description","age","scheme","isnew","timestamp","categoryname","schemename",
"99","WARLI ART PUZZLE - 2 IN 1","","","","39136","21","","275","Nurture Art. Nurture Mind. Warli art is a beautiful folk art of Maharashtra, traditionally created by the tribal women. Tribal people express themselves in vivid styles through paintings which they execute on the walls of their house.
The two 18-piece puzzles & one 36-piece puzzle are fun to match while taking clues from shapes and colours.
Unlike a picture puzzle, this one offers involvement and subconscious understanding of art during play. ‘Warli’ style depicts activities from day to day life and special events of an Indian village in simple shapes and forms.
Here, the Warli art rendered in colours makes it even more interesting for children.


Contents
2 X 48 pieces; Instruction book inside on WARLI ART","","","","2014-09-11 10:57:55","Jigsaw Puzzles","",
"100","TETRALOGY-1","","","","39751","21","","349","This is logic-based multilevel learning aid which progressively elevates the child's intelligence to unexplored highs. One combines the different pieces provided in this set as per the examples in the Tetralogy Book to explore depths in intellect.
Each example has a unique solution and the puzzles provide mental stimulations in spatial arrangement, correlation, logic and geometry.  
The collection of puzzles is interesting, engaging and a great teaching aid for young learners. Concepts of trial and error and logical reasoning are imparted to them in a hands-on practical manner.
Without a doubt, Tetralogy-1 will stimulate the child's curiosity to think beyond the ordinary and involuntarily probe hitherto unexplored challenges.


Contents
Game Board: 1; Tetralogy pieces: 29; Game Book","","","","2014-09-11 10:57:55","Jigsaw Puzzles","",
"101","WITH WINGS ...","","","","39105","21","","125","This is a set of puzzles with an extended connectivity.The child first makes individual pictures of all the four puzzles starting from the simplest 4-piece puzzle to the more challenging 12-piece puzzle.With a little guidance the child discovers that the four completed pictures can actually be joined to make a portrait picture!You can even extend this puzzle picture with the other title in the series “More with Wings” to behold a Panorama Picture of the Birds!Contents:Assortment of 4, 6, 8 & 12 pieces jigsaw puzzles","","3","0","2014-10-13 03:11:56","Jigsaw Puzzles","Below MRP - 200",
"102","MOSIACS MINIS - AT THE FARM","","","","39436","15","","249","Enjoy a mosaic-al farm visit by creating 5 farm scenarios.
More than 2000 mosaic pieces are provided in this kit.
For children, this art form introduces to them concepts of spatial awareness, colour blending, mix and match - a facile method to create simple, but also attractive pictures.




Contents
Numbered templates: 4; Blank template: 1; Foam mosaics in 12 colours; Twine for stringing the pictures;
Spatula: 1; Instruction manual","","","","2014-09-11 10:57:55","Mosaics","",
"103","MOSAICS MINIS - IN THE JUNGLE","","","","39437","15","","249","Enjoy a mosaic-al farm visit by creating 5 jungle scenarios.
More than 2000 mosaic pieces are provided in this kit.
For children, this art form introduces to them concepts of spatial awareness, colour blending, mix and match - a facile method to create simple, but also attractive pictures.


Contents
Numbered templates – 4 nos; Plain template – 1; Foam mosaics in 11 colours – more than 2000 pcs; Foam mosaics with gold glitter paper - more than 150 pcs;
Twine for stringing the mosaic pictures – 1 piece; Spatula-1; Instruction manual","","","","2014-09-11 10:57:55","Mosaics","",
"104","MOSAICS MINIS - UNDER THE SEA","","","","39438","15","","249","Enjoy a mosaic-al farm visit by creating 5 farm scenarios.
More than 2000 mosaic pieces are provided in this kit.
For children, this art form introduces to them concepts of spatial awareness, colour blending, mix and match - a facile method to create simple, but also attractive pictures.




Contents
Numbered templates – 4 nos; Plain template – 1; Foam mosaics in 11 colours – more than 2000 pcs; Foam mosaics with gold glitter paper - more than 150 pcs; Twine for stringing the mosaic pictures – 1 piece; Instruction manual; Spatula-1","","","","2014-09-11 10:57:55","Mosaics","",
"105","ORIGAMI - UNDER SEA WORLD","","","","39409","7","","249","A fantastic collection of Origami sea creatures in their natural habitat unlike any you've ever seen can be made from this kit.
Using a few easy cutting, folding and pasting techniques, create a beautiful angelfish, a creepy crawly crab and many more awesome sea-inspired Origami forms.
The finished models look great in the waterless ocean depths of the coral reef diorama provided in this kit.


Contents
Origami sheets: 42; Cut-outs for Under Sea diorama: 5; Marker pen: 1; Adhesive: 1; Instruction manual","","","","2014-09-11 10:57:55","Origami","",
"106","ORIGAMI FASHION STUDIO","","","","39564","7","","275","Fashion Origami will appeal to anyone who loves fashion and dressing up.
This modern day kit with the illustrated manual shares step-by-step directions for folding colourful paper into a variety of fashion favourites.
One learns how to fold everything from coats and shirts to skirts and dresses.
Also covered are instructions for creating fashion accessories like purses, shoes, and headgear. These pretty add-ons can be slipped on the models to enhance the fashion element.
The models can be propped on plastic bases which are also provided in the kit. These origami dresses look stunning on the models standing well poised on the stands.
The attire can be mixed and matched and photos of the fashioned models can be shared by budding fashion designers-cum-Origamists with their friends and dear ones.


Contents
Fashion model cut-outs: 3; Base cut-outs: 3; Plastic mounts: 6; Printed Origami sheets: 48;
Adhesive: 1; Origami illustrated book: 1","","","","2014-09-11 10:57:55","Origami","",
"107","AN OMNI BOX OF ORIGAMI OFFERINGS","","","","39472","7","","249","Using a few easy cutting, folding and pasting techniques, create an Omni-mix of Origami offerings.
This kit offers a keen early learner of Origami an impressive range of useful and decorative objects and oddments.
Right from gift boxes and decorative hangings, birds and butterflies, boats, cars and planes to picture frames, Origami has never been so much fun. 
The detailed illustrated book guides the young hobbyist in folding paper and unfolding every model.


Contents
Large Origami sheets: 6; Origami sheets: 44; Cardboard frames: 2; Adhesive: 1; Instruction book","","","","2014-09-11 10:57:55","Origami","",
"108","ORIGAMI - FLORAL FIESTA","","","","39484","7","","249","Origami is the Japanese art of folding paper to form intricate 3D designs. 
By following the folding instructions one can make flowers and decorate the house with tulips, sunflowers and flowers for all seasons! 
One can make Origami flowers, complete with stems to jazz up a wrapped gift, give to someone who is ill or decorate a room on a bleak day. 
The Origami flowers can be completely customized with the special colours and patterns of papers provided in the kit.


Contents
Origami papers: 48; Paper stems: 20; Adhesive: 1; Illustrated","","","","2014-09-11 10:57:55","Origami","",
"109","ORIGAMI - IN THE JUNGLE","","","","39448","7","","249","This unique cardboard cut-out with 4 storage sections when put together after beautifying it with various adornments can look simply stunning. It's just amazing how much bling and trinkets one can store in it. This craftsmanship gives a sure shot feeling  of pride.","","","","2014-09-11 10:57:55","Origami","",
"110","FINGER PAINTING KIT","","","","39430","12","","325","Finger paint is a special paint intended to be applied with the fingers and suited for very young children who cannot paint with a brush.
Finger painting serves as a perfect launch-pad for them to experiment with colour and as a form of their expression and individuality.
Getting their fingers into the paint, mixing colours, learning cause and effect from inside - the pot to outside - on the paper is a thrilling experience for them.
Finger painting artists even believe that their spirit flows to their finger tips instilling a part of their soul in each painting!




Contents
Non-toxic paints in pots – 5 (Yellow, Blue, Green, Red and White); Sheets of pre-printed art paper – 18; 
Sheets of plain art paper – 4; Empty pots for dilution and mixing – 10; Spatula – 1; Instruction manual","","","","2014-09-11 10:57:55","Painting Kits","",
"111","FINGER PAINTING WITH LITTLE FINGERS","","","","39492","12","","249","Finger painting is an art form in which one uses fingers instead of a paint brush. It is especially suited for toddlers and very young children.
The finger painting manual along with the templates serves as an ideal launch-pad for starters.
Getting their hands into the paints, experimenting with colour mixing in other pots, learning cause and effect from inside - the pot to outside - on the paper is a thrill which is inexpressible.




Contents
Non-toxic paints in mini tubs: 5 (Yellow, Blue, Green, Red and White); Picture templates: 16;
Blank templates: 4; Sponge with cut- outs; Tubs for mixing and dilution: 10; Spatula; 
Finger Painting manual","","","","2014-09-11 10:57:55","Painting Kits","",
"112","FINGER PAINTING KIT 2","","","","39461","12","","325","Finger painting is an art form in which one uses fingers instead of a paint brush and is especially suited for very young children.
The animal picture templates serve as an ideal launch-pad for them to experiment with colour and as a form of expression of their individuality.
They can extend their finger-tip expertise by painting other life forms using those shown in the box cover as leads.
Getting their hands into the paints, experimenting with colour mixing, learning cause and effect from inside - the pot and palette to outside - on the paper is a thrill which is inexpressible. 
For adults it is an art form of unbelievable depth and satisfaction and they even believe that the spirit flows to the finger-tips instilling a part of their soul into each creature!



Contents
Non-toxic paints in pots – 5 (Yellow, Blue, Green, Red and White);
Pre-printed art paper templates of animals: 12; Blank sheets of art paper: 6; 
Tubs for mixing and dilution: 10; Spatula: 1; Instruction manual","","","","2014-09-11 10:57:55","Painting Kits","",
"113","MASK PARADE","","","","39493","12","","299","In this kit four masks made of plastic are provided. Personalized designs can be created on these masks.
One can paint different animal faces, funny clowns, popular cartoon characters, Halloween faces or even scary characters Mask designs on the box can serve as inspirational ideas and also offer valuable leads.
The fun part of these masks is that it allows the artist to paint in vivid designs in bright colours and actually wear the masks.
Now enjoy a creative stint with this kit and have a ball at your next Masquerade party!



Contents
Plastic masks: 4; Tempera paints: 6 colours; Acrylic base paint: 1; Paint brush: 1; Ribbon for tying;
Instruction manual","","","","2014-09-11 10:57:55","Painting Kits","",
"114","PARTY FUN MASKS","","","","39499","12","","299","Making masquerade eye masks is rendered facile with this 'PARTY FUN MASKS' kit.
As many as 6 masks in different hues and funky designs can be made from this great kit.
The fun factor is in the embellishments which can be added to it - like feathers, rhinestones, ribbon cuttings, lace, sequins and glitter.
A masquerade eye mask can be made for several occasions, not just a masquerade ball but also on Halloween, a teen party or a themed birthday party.
It is also a unique fun theme for a corporate informal evening get-together or to celebrate a party with a unique identity for each participant.



Contents
Canvas cloth for making 6 masks bases; Mask stencil: 1; Ribbons in assorted colours; Sequins: 3 colours; Metallic fabric paint: 2 colours; Glitter glue: 2 colours; Fabric glue: 1; Paint brush: 1; Lace: 1; Black Ribbon for tying the masks; Instruction manual","","","","2014-09-11 10:57:55","Painting Kits","",
"115","GETTING STARTED WITH FINGER PAINTING","","","","39471","12","","325","Finger painting is an art form in which one uses fingers instead of a paint brush. It is especially suited for toddlers and very young children.
The finger painting book along with the templates serves as an ideal launch-pad for starters. 
Getting their hands into the paints, experimenting with colour mixing, learning cause and effect from inside the pot to outside - on the paper is a thrill which is inexpressible.
It is an art form of unbelievable depth and satisfaction- the spirit flows to the little finger-tips revealing the innocence in each painting!


Contents
Non-toxic paints:  5 colours; Preprinted art paper templates:  12; Blank art papers:  16; Palette: 1;
Finger Painting Book","","","","2014-09-11 10:57:55","Painting Kits","",
"116","CRAFTED COASTERS","","","","39489","12","","375","Coasters are an important part of table décor and offer protection to furniture from liquid spills and condensation marks from mugs, cups or glasses.
In this kit one can make two artistic coasters which actually have great utility value.
Right from painting on the boards, designing with glitter glue, sticking décor material, making the wooden frames to finally inserting the glass pieces and sealing them with velvet cloth – all these multifold creative activities can be accomplished using  material provided in the kits.
The end result is simply awe - inspiring!




Contents
Square Fibre boards: 2 pieces; Wooden Side frames: 8; Square Acrylic pieces: 2;
Square Velvet cloth: 2 pieces; Acrylic paint: 1; Glitter glue: 2 colours; Adhesive: 1; 	
Paintbrush: 1; Metallic décor; Gem décor (kundan); Instruction manual","","","","2014-09-11 10:57:55","Painting Kits","",
"117","CREATE A REAL CLOCK","","","","39400","6","","299","Design and assemble a real working clock which shows accurate time using the Quartz clock mechanism provided in the kit. Three different dial options and a circular reflective disc allow you to change and enhance the look and feel of the clock.Also provided in the kit are painting and decorative options with which it can look like a great work of craftsmanship. Contents: Corrugated board clock body; Cardboard dial templates: 3; Circular disc reflective template: 1; Clock hands: 1set; Quartz clock mechanism: 1; Tempera paints: 6 colours; Adhesive: 1; Paint brush: 1Instruction manual","","","0","2014-10-04 07:03:45","Paper & Board","",
"118","BAG THE GIFTS","","","","39569","6","","449","'Bag the gifts' or taking the liberty to a higher level 'Gift the Bags' is gratifying craft experience where you can carry and gift bags with your personal style and flair. 
This kit offers you an ideal platform to make some very attractive bags using paper board or even newsprint.
Right from shopping bags of different sizes and shapes, wine-bottle bags down to stylized bag tags, the hobbyist in you can use the art and craft medium in many diverse decorative ways.
You can make as many as 4-5 bags from this collection and make a statement of your creativity.


Contents
Basic Bag frame cut-out: 1; Wine bottle bag frame cut-out: 1; Coloured card: 2 sheets;
Handle supports: 2 sheets; Base supports: 4 sheets; Grooved coloured paper: 1 sheet;
Square printed paper: 12 sheets; Cord: 1; Ribbon: 1; Paints: 5 colours; Paint brush: 1; Adhesive: 2; Newsprint design paper: 16 sheets; Buttons: 1 packet; Instruction Manual","","","","2014-09-11 10:57:55","Paper & Board","",
"119","GROOVY GREETING CARDS","","","","39536","6","","399","Making personal handcrafted greeting cards in your own cool style is really exciting with this crafty composition.
The final look and feel of the cards is Groovy in more ways than one.
The grooved and handmade paper, card stock, design sheets along with denim, silver glitter, buttons, shells and sketch pens give the hobbyist a rich brew of components to experiment in infinite collage possibilities.
It is a fabulous value-for-money option – you can make more than 8 greeting cards to suit any occasion.


Contents
Plain white cards: 4; Printed papers: 6; Hand-made papers: 2; Corrugated paper sheets: 4 colours; Adhesive: 1; Denim fabric: 1; Papers for making envelopes: 8; Glitter glue: 1; Buttons: 12; Sketch pens: 3;
Shells: assorted; Ribbon Stencil for envelope: 1; Instruction Manual","","","","2014-09-11 10:57:55","Paper & Board","",
"120","PAPER GROOVES - 2","","","","39407","6","","375","PAPER GROOVES is an amazing craft and hobby idea for making three-dimensional objects out of corrugated paper. The Corrugated paper creations will brighten up any child's playroom.  
The potential of these papers in other usages, such as furniture, stationery, crafts and hobby ideas is unlimited. It is a versatile material to make children's toys, craft and hobby products.
When used in creating paper crafts, coloured corrugated paper offers a kind of special appeal not found in other papers.It is specially suited for elementary students to make craft projects with these papers.
Contents:
. Cardboard panels for Conch and Car display
. Seven corrugated paper sheets in assorted colours
. Printed timetable sheet 
. Adhesive glue
. Masking tape
. Brush
. Tempera paints in 6 colours
. Eva-foam cut-outs
. Assorted shells 
. Instruction manual","","","","2014-09-11 10:57:55","Paper & Board","",
"121","FOOLED & FLOORED BY FLORALS","","","","39442","6","","399","This bountiful kit enables you to make a bouquet of more than 24 flowers in vibrant colours, complete with paper stems and buds.
The illustrated book in the kit will enable you to produce a variety of flowers including carnations, daffodils, lilies and many more.
Your natural flair can blossom into a spectacular floral bouquet which you can gift or display in your home.


Contents
Tissue paper in different colours: 48, Paper stems: 24, Flower buds: 24, Vase: 1, Flower stencils: 16
Instruction book with illustrations","","","","2014-09-11 10:57:55","Paper & Board","",
"122","MAKE IT PAPIER MACHE","","","","39524","6","","375","Papier Mache is a time-honoured process where a number of layers of torn paper strips are stuck to a basic mould.
Once dry, the Papier Mache is removed from the mould to produce a replica item which is both strong and light. The piece can then be built up and decorated in various ways.
The contents, papier mache book and instructions provided in this kit will enable the hobbyist to make a rich array of amazing items – piggy bank, tray, open box, leaf shaped artifact, mobile holder, bowl and stationery holder.


Contents
Newspaper; Plaster of Paris Gauze: 1 packet; PVA glue: 2; Tempera paints: 6 colours;
White acrylic paint: 1; Binding board cut-outs: 4; Petroleum jelly; Brush: 1; Balloons: 2 Plastic stopper: 1
Bowl mould: 1; Tissue paper: 1 packet; Masking tape; Blunt knife; Sandpaper strip; Papier Mache book;
Instruction manual","","","","2014-09-11 10:57:55","Paper & Board","",
"123","SUPER SCRAP BOOKER","","","","39431","6","","299","Super Scrapbooker is a fun and creative hobby product in which you collect together your photos, pictures along with other memorabilia that are special to you and put them all together in a fun photo album.
Each scrapbook that you create will reveal your personality and traits which you can show your friends or look up when you go down memory lane.
This kit enables you to create an ideal scrapbook with innovative techniques to craft beautifully designed pages.
Memorable themes including picnics, birthdays, holidays, school, home, pets and family can be compiled with this kit.


Contents
Coloured Paper sheets: 22; Glitter Paper: 3; Marker pens: 3 colours; Adhesive: 1; Stencils;
Decorative Elements-1 packet; Plastic Spiral: 1; Illustrated book","","","","2014-09-11 10:57:55","Paper & Board","",
"124","PRETTY PRESENTATIONS","","","","39439","6","","299","Three fabulous gift boxes can be made from this hobby kit.
Transform the boxes with the coloured corrugated and metallic papers, metallic décor, ribbons into gorgeous gift creations. 
Once ready, you will enjoy stashing up your precious stuff in these jazzed-up boxes.


Contents:
Board boxes: 3; Corrugated paper: 2 colours; Metallic paper: 1; Décor paper: 1; Adhesive: 1;
Metallic décor; Ribbons: 3 colours; Instruction manual","","","","2014-09-11 10:57:55","Paper & Board","",
"125","PAPER QUILLING","","","","39480","8","","275","Paper Quilling is the art of rolling, shaping and pinching thin strips of paper into delicate looking shapes and using these pieces to form a design.
Most shapes are made with just a few variations of basic rolls and scrolls. Once the individual shapes have been created, they are arranged on a board or piece of paper. The pieces are then glued in a mosaic-like fashion, making a picture out of several smaller shapes.
Paper Quilling finds usage in decorating wedding invitations, birth announcements, greeting cards, scrapbook pages, boxes and more.
A comprehensive illustrated book is provided with this kit.


Contents
Quilling paper: 100 strips in 10 colours; Blank greeting cards: 6; Adhesive : 1; Paper quilling tool: 1; 
Paper Quilling book","","","","2014-09-11 10:57:55","Paper Quilling","",
"126","PAPER QUILLING - PENCIL TOPS","","","","39534","8","","299","Paper quilled models serve as a great hobby idea for pencil tops as dimensions of 3-D quilled items are similar. The cavity in the model fits snugly on the pencil top. In this kit, the hobbyist gets an opportunity to make as many as 10 amazing 3D birds. The method of making different types of quilled coils, quilled cups and cones is provided in the book in the kit. When you mount all these birds on your pencils and display them on your stationery holder, you are bound to create a sensation! The birds look very content perched atop the pencils.</br>    Contents:</br>  Multi coloured strips pack (5mm): Rolls of 200 strips </br>  Multi coloured strips pack (3mm): Rolls of 20 strips </br>  Quilling Tool: 1</br>  PVA adhesive: 1 tube </br>  Quilling comb: 1</br>  Pencil caps: 10</br>  Paper quilling book: 1</br>  Paper quilling instruction manual: 1</br>","","","","2014-09-11 10:57:55","Paper Quilling","",
"127","PAPER QUILLED - CARDS","","","","39584","8","","125","Paper Quilling is the art of rolling, shaping and bending thin strips of paper into delicate looking shapes and using these pieces to form a design.   In this kit are contained all the components required to make greeting cards. The comprehensive instructions on Paper Quilling will guide the hobbyist in this artwork.</br>  Kit Contains:</br>  Quilling paper strips in assorted colours: 100</br>  Blank greeting cards: 3</br>  Paper quilling tool: 1</br>  Adhesive glue: 1 tube</br>  Instruction manual","","3","0","2014-10-06 05:35:03","Paper Quilling","Below MRP - 200",
"128","PAPER QUILLING - WRIST BANDS","","","","39537","8","","199","This is a great do-it-yourself kit to make outstanding quilled bracelets, unique friendship bands and beautiful Rakhis.Paper Quilled Wristbands help you personalize Friendship bands and Rakhis so that you make a special impact memorable not just for that day but until Friendship Day or Raksha Bandhan the next year!Apart from making a statement, wherein people vie with each other as to who is wearing the most stylish band, these paper quilled creations are also eco-friendly!A comprehensive illustrated book is provided with this kit.ContentsPaper strips in assorted colours (5mm): 100; Paper strips in assorted colours (3mm): 100;Paper Quilling tool: 1; Adhesive; Ribbon; Jump rings: 1 packet; Bracelet locks: 1packet;Illustrated Instruction manual","","3","0","2014-10-13 04:41:07","Paper Quilling","Below MRP - 200",
"129","PAPER QUILLING - JEWELLARY","","","","39487","8","","299","You can make quilled shapes into jewellery with this great DIY kit.
The pendants or earrings look complicated but the process for making quilled jewellery is really simple.
The quilled jewellery looks delicate and stylized.
A pair of quilled earrings looks spectacular when worn with a pretty dress.
A comprehensive illustrated book is provided with this kit.


Contents
Paper strips: 200; Quilling tool: 1; Toothpicks: 1packet; Adhesive: 1; Jump rings: 1 packet;
Earring hooks: 1packet; Paper Quilling book: 1; Instruction manual.","","","","2014-09-11 10:57:55","Paper Quilling","",
"130","PAPER QUILLING - PLAY THINGS","","","","39528","8","","299","One can create fabulous quilled characters -3-D figurines, animals and objects with quills.
These models can be simple and fantastic, human and animal, serious or comical.
Three-dimensional objects can be made from Paper quilling strips by first converting the strips into cone coils, cup coils, solid coils and ring coils. 
The miniature models from this craftwork look really fabulous and serve as an inspiration for new hobbyists.
A comprehensive illustrated book is provided with this kit.


Contents
Paper strips in assorted colours: 350; Paper Quilling tool: 1; Toothpicks; Quilling comb: 1; Adhesive: 1;
Cotton wool; Illustrated book","","","","2014-09-11 10:57:55","Paper Quilling","",
"131","PAPER QUILLING - FINGER PUPPETS","","","","39533","8","","299","Create fabulous 3-D-animals with quilling paper strips. Finger puppets are not very difficult to make and provide scope for variation. One can make as many as 12-13 animals in this kit and create a complete puppet theatre crew. The kit provides instructions and paper quills required for making the following animals: Lion, mouse, crocodile, zebra, giraffe, rabbit, elephant, cat, dog (poodle), frog, deer, rabbit and rhino.        Contents:  Multi coloured strips pack (5mm): Rolls of 200 strips  Multi coloured strips pack (3mm): Rolls of 20 strips  Quilling Tool: 1  PVA adhesive: 1 tube  Paper quilling book: 1  Paper quilling instruction manual: 1","","","","2014-09-11 10:57:55","Paper Quilling","",
"132","MAMMBOO","","","","39722","27","","299","Mammboo is a rollicking party and family game which keeps you in splits of laughter and charges up your adrenaline during play. It even revs up the more reserved players into a hyper mode resulting in action-packed excitement. 
In Mammboo the players relive the fun and tension-free lifestyle of prehistoric man mimicking them in a side-splitting behaviour with actions and sounds such as –Umbaa, Bunga, Toc Toc Toc …!!! -  To name only a few out of these crazy names and gestures. 
Besides this they also compete with one another in a mad dash to capture the elephant-like creatures – the Mammoths (now extinct, what with them being excessively hunted!).
Keeping track of which sounds and actions need to be enacted can become quite challenging - even for sober souls with the twists and turns in the game.
A must - play game for parties and outings!



Contents
Mambo cards: 55 (including 48 gesture cards, 7 hunt cards); Wooden mammoths: 5 (4xbrown, 1x pink); Tribal leader figure: 1 piece; Plastic base for leader: 1; Timeline player board: 1; Counter: 1; 
Instruction manual: 1","","","","2014-09-11 10:57:55","Party Games","",
"133","MOULD & PAINT","","","","39401","11","","299","This mould and paint kit contains as many as 18 moulds of various objects like fruits, flowers, vegetables, celestial figures and many more.
The moulding is done using Plaster of Paris. 
When they have set nicely, the moulds are painted with the colours provided in this kit to make them look attractive and realistic.
The objects can be stuck with magnets and put up on the fridge or strung with thread to be put up for all to appreciate.
This is a value for money kit.


Contents
Plaster of Paris: 1Packet; Moulds: 18; Tempera paints: 6 colours; Paint brush: 1; Nylon thread: 1;
Disc magnets: 9; Instruction Manual","","","","2014-09-11 10:57:55","Plaster of paris","",
"134","MAKE CARS AND DISPLAY","","","","39588","11","","125","In this kit you can make a wall hanging which displays three snazzy cars as a part of a city scene.The cars are made by moulding them from plaster of Paris and painting them with vibrant colours provided in the kit.Also provided in the kit is a picture portraying a city with flyovers on which the cars can be displayed.ContentsPlaster of Paris: 1 packet; Plastic moulds: 3; Paint brush: 1; Tempera paints: 6 colours; Illustrated City template: 1; Instruction manual","","3","0","2014-10-06 05:34:30","Plaster of paris","Below MRP - 200",
"135","M & P - BAKING DELIGHTS","","","","39573","11","","275","This hobby kit is simply a delightful delicacy for the child. It provides moulding and crafting activity followed by painting.
You can create as many as 6 tasty bites from the 6 moulds using Plaster of Paris!
After painting, the good-looking tasty bites can be mistaken for the real stuff!
You can even play a prank on your friends and relatives by offering these goodies to them. A totally rewarding experience is derived by doing this hobby kit and you can proudly display your almost real delicacies!




Contents
Moulds: 6; Tempera paints: 6 colours; Acrylic paint (brown): 1; Plaster of Paris: 2 packets; Blunt-edged;
Penknife: 1; Adhesive: 1 tub; Paint brush: 1; Instruction manual","","","","2014-09-11 10:57:55","Plaster of paris","",
"136","M & P - UNDER WATER","","","","39572","11","","185","This exciting hobby kit provides moulding and crafting activity followed by painting.You can create as many as 8 different fish from the moulds using Plaster of Paris!After moulding the pieces, select an exciting colour palette for each fish.After painting, the fish models look so very realistic in their natural habitat.Mount the magnets on the back and put them on the fridge to get a very cool marine look.ContentsMoulds: 8; Tempera paints: 6; Plaster of Paris: 1 packet; Magnets: 8; Adhesive: 1; Paint brush: 1;Instruction manual","","3","0","2014-10-13 03:51:00","Plaster of paris","Below MRP - 200",
"137","MAKE A CANDLE STAND","","","","39421","11","","185","Going arty with Candles is always interesting, but making a candle stand is going one step further.Pour the plaster of Paris-water mixture into the moulds (candle stand and decorative elements) and allow them to set. Paint the candle stand and elements and highlight with glitter.Use adhesive to stick the decorative plaster of Paris pieces on the candle stand.And now light a candle to illuminate your very own creation!ContentsMould for Candle Stand: 1; Moulds for decorative elements: 4; Adhesive: 1; Tempera paints: 6 colours; Plaster of Paris: 1 Packet; Paint brush: 1; Instruction manual","","3","0","2014-10-13 04:00:33","Plaster of paris","Below MRP - 200",
"138","MAKE A PHOTOFRAME","","","","39420","11","","185","A Photo frame helps us to frame our memories and making it more artistic, is always interesting and wonderfulPour the plaster of Paris-water mixture into the moulds (photo frame and decorative elements) and allow them to set.Paint the photo frame and elements and highlight with glitter.Use adhesive to stick the decorative plaster of Paris pieces (butterfly, star, heart and flower) on the photo frame.Attach the card board back-up and insert a photograph.ContentsPhoto frame Mould: 1; Decorative elements Moulds: 4; Tempera paints: 6 colours; Adhesive: 1; Plaster of Paris powder: 1 Packet; Brush: 1; Glitter: 1; Card board: 1; Instruction Manual","","3","0","2014-10-13 04:01:00","Plaster of paris","Below MRP - 200",
"139","MOULD & PAINT - CARS","","","","39428","11","","185","Mould eight snazzy cars out of plaster of ParisGlue them on the city scene portrait in locations of your choiceCreate a modern city wall-drop for all to appreciate.ContentsPlaster of Paris: 1 pkt; Car moulds: 8; Tempera paints: 6; Paint brush: 1; City scene portrait;Adhesive: 1; Instruction Manual","","3","0","2014-10-13 04:11:16","Plaster of paris","Below MRP - 200",
"140","MOULD & PAINT - DINO","","","","39426","11","","185","Mould the dinos using Plaster of ParisCreate a diorama by folding the cardboard sheet to form a 3D stage.Place the dinos in the marked positions in the horizontal section of the diorama.Now you have a Dino Jurassic Park stage in your own den.ContentsPlaster of Paris: 1 packet; Moulds: 6; Tempera paints: 6 colours; Paint brush: 1; Cardboard panel;  Diorama: 1; Plastic stands and rings: 6 pairs; Instruction Manual","","3","0","2014-10-13 04:11:59","Plaster of paris","Below MRP - 200",
"141","MOULD & PAINT - GARDEN","","","","39427","11","","185","Create natural elements such as flowers, buds, flower pots & butterflies using plaster of Paris by casting them in mould cavities.Paint them in vivid, bright colours with the paints provided in the pack.Then arrange these beautiful pieces on your refrigerator, cupboard, etc.ContentsPlaster of Paris: 1 packet; Moulds: 6; Tempera paints: 6 colours; Paint brush: 1; Disc magnets: 6; Instruction Manual.","","3","0","2014-10-13 04:14:19","Plaster of paris","Below MRP - 200",
"142","M&P - KERALA","","","","39504","11","","199","A do- it- yourself kit to create images of Kerala. These include the popular Houseboat on the backwaters, masked Kathakali male dancer and the decorated temple elephants.
Mould these from Plaster of Paris and paint them in colourful hues.
Attach the magnet pieces and put up these memories from God's own country - Kerala on the refrigerator.



Contents
Moulds of Kathakali dancer; Backwater Houseboat and Decorated Elephants: 3;
Tempera colours in canisters: 6; Plaster of Paris: 1 Packet; Disc magnets: 3; Instruction manual","","","","2014-09-11 10:57:55","Plaster of paris","",
"143","MOULD & PAINT - MASKS","","","","39429","11","","185","Mould and paint eight masksGlue them on the veneered panelsString the panels to create an attractive display unit.ContentsEasy to dry plaster of Paris powder; Blister Moulds in one tray: 8; Mini Canister of paint (6 colours); Brush: 1; Two panels in veneer design; String; Glue; Instruction Manual","","3","0","2014-10-13 04:14:40","Plaster of paris","Below MRP - 200",
"144","M & P - MONUMENTS","","","","39494","11","","249","A do-it-yourself kit to create 3 famous Indian Monuments made from Plaster of Paris 
In this kit you can make a wall hanging which displays 3 famous Monuments- Taj Mahal, Red Fort and Amber Palace Fort as a reminder of Incredible India! They are made by moulding them from plaster of Paris and painting them with vibrant colours provided in the kit.
Also provided in the kit is a board for mounting an ancient scroll to portray them. Glue them to make the display stand out as a work of art.
Contents:
: Easy to dry Plaster of Paris: 1 packet
: Blister Moulds in one tray: 3
: Mini canister of paint (6 colours): 1 Strip
: Paint brush: 1
: Cardboard panel: 1
: Scroll template: 1
: Glue: 1 Tube 
: Instruction Manual: 1","","","","2014-09-11 10:57:55","Plaster of paris","",
"145","FRUIT MAGNETS","","","","39424","11","","185","Mould and Paint Fridge Magnets is beautiful work of art wherein the child mould six amazing fruitsThe child can paint them with bright colours and then magnets are attached to each one of them to make attractive fridge magnets.The Fridge Magnets can be decorated with eye stickers and the child can showcase the creativity wonderfully.ContentsPlaster of Paris: 1 Packet; Moulds: 6; Tempera colours: 6; Disc magnets: 6; Paint brush: 1;Eye stickers: 6 pairs; Instruction manual","","3","0","2014-10-13 03:50:30","Plaster of paris","Below MRP - 200",
